Autauga County,AL,32.5165255,-86.6319403
Chilton County,AL,32.8522565,-86.7032845
Dallas County,AL,32.3117968,-87.1046643
Elmore County,AL,32.5801231,-86.125195
Lowndes County,AL,32.1088066,-86.6402541
Montgomery County,AL,32.1672192,-86.1999118
Baldwin County,AL,30.5677527,-87.7324392
Clarke County,AL,31.659134,-87.8192486
Escambia County,AL,31.1168422,-87.1070947
Mobile County,AL,30.6488242,-88.194642
Monroe County,AL,31.5593935,-87.3781004
Washington County,AL,31.3991238,-88.2019828
Escambia County,FL,30.6625885,-87.3451089
Barbour County,AL,31.8589311,-85.4032078
Bullock County,AL,32.09929,-85.7091657
Dale County,AL,31.3940969,-85.623763
Henry County,AL,31.4838041,-85.2447377
Pike County,AL,31.7615793,-85.9259465
Russell County,AL,32.2698458,-85.1959487
Clay County,GA,31.5738181,-84.9800814
Quitman County,GA,31.8769847,-85.0154412
Stewart County,GA,32.0732743,-84.8483149
Bibb County,AL,32.971079,-87.1227088
Hale County,AL,32.7412417,-87.6561668
Jefferson County,AL,33.5228184,-86.9164513
Perry County,AL,32.6421387,-87.2876639
Shelby County,AL,33.2503347,-86.6639746
Tuscaloosa County,AL,33.2668398,-87.4862182
Blount County,AL,33.9510169,-86.5702002
Cullman County,AL,34.1335332,-86.8779268
Etowah County,AL,34.0371404,-86.022147
Marshall County,AL,34.3396046,-86.3301801
St. Clair County,AL,33.7086407,-86.3364
Walker County,AL,33.7804491,-87.2767248
Macon County,AL,32.366606,-85.6660307
Butler County,AL,31.7340713,-86.6754793
Conecuh County,AL,31.3966783,-86.9437104
Covington County,AL,31.196549,-86.4597236
Crenshaw County,AL,31.6809362,-86.3244009
Wilcox County,AL,31.9523021,-87.3005169
Calhoun County,AL,33.7514505,-85.8315666
Cherokee County,AL,34.1142554,-85.6004514
Cleburne County,AL,33.6506958,-85.5017359
Talladega County,AL,33.3967079,-86.1597137
Chambers County,AL,32.8901658,-85.3866953
Lee County,AL,32.5814796,-85.3077038
Randolph County,AL,33.2651763,-85.4693961
Tallapoosa County,AL,32.8595687,-85.8023774
Harris County,GA,32.7251788,-84.9104641
Troup County,GA,33.0237625,-85.0254022
DeKalb County,AL,34.4524349,-85.7662118
Chattooga County,GA,34.4620931,-85.3660518
Floyd County,GA,34.2421984,-85.2229248
Polk County,GA,33.9981581,-85.1567475
Coosa County,AL,32.9181762,-86.2327497
Choctaw County,AL,31.9908095,-88.2821326
Marengo County,AL,32.201002,-87.7569365
Sumter County,AL,32.5234698,-88.1837986
Clarke County,MS,32.0396256,-88.7003965
Lauderdale County,MS,32.3905206,-88.689636
Wayne County,MS,31.6212491,-88.6858852
Clay County,AL,33.2423393,-85.819651
Carroll County,GA,33.5588005,-85.0641272
Haralson County,GA,33.7812701,-85.2001291
Coffee County,AL,31.3629619,-85.9870669
Geneva County,AL,31.0862933,-85.803014
Colbert County,AL,34.6473396,-87.7921769
Franklin County,AL,34.440962,-87.8339064
Lauderdale County,AL,34.9049555,-87.6747398
Lawrence County,AL,34.4776367,-87.3017331
Tishomingo County,MS,34.7238634,-88.2268403
Okaloosa County,FL,30.6765961,-86.6037748
Walton County,FL,30.6204939,-86.1912678
Morgan County,AL,34.4296848,-86.8529584
Winston County,AL,34.1328863,-87.361354
Houston County,AL,31.1355603,-85.2654592
Jackson County,AL,34.7692447,-85.9867941
Dade County,GA,34.8722084,-85.4998791
Walker County,GA,34.7418605,-85.3209686
Santa Rosa County,FL,30.6964502,-87.0097524
Fayette County,AL,33.7303493,-87.7419088
Lamar County,AL,33.7490016,-88.1003689
Marion County,AL,34.1128132,-87.8544031
Pickens County,AL,33.2948421,-88.1244034
Itawamba County,MS,34.2774018,-88.3713687
Holmes County,FL,30.8918676,-85.8138207
Jackson County,FL,30.8013861,-85.2063186
Greene County,AL,32.8620514,-87.9915392
Early County,GA,31.3454341,-84.9282058
Seminole County,GA,30.951849,-84.8789094
Madison County,AL,34.7736807,-86.5675095
Franklin County,TN,35.1680139,-86.1084401
Marion County,TN,35.1507807,-85.617868
Lowndes County,MS,33.4466925,-88.4108384
Monroe County,MS,33.8884929,-88.4747009
Limestone County,AL,34.8342463,-86.9901321
Giles County,TN,35.2178285,-87.0296239
Hardin County,TN,35.1946569,-88.1857563
Lawrence County,TN,35.2256914,-87.4016388
Wayne County,TN,35.2499093,-87.8084373
Muscogee County,GA,32.4840651,-84.8502167
Lincoln County,TN,35.1711024,-86.5783704
George County,MS,30.857421,-88.6537118
Greene County,MS,31.2049136,-88.6429687
Jackson County,MS,30.4899024,-88.6486325
Noxubee County,MS,33.1190254,-88.5916703
Heard County,GA,33.2786225,-85.113782
Chattahoochee County,GA,32.3320278,-84.7939799
Kemper County,MS,32.7307497,-88.6604179
Aleutians East Borough,AK,55.0512443,-162.8916892
Aleutians West Census Area,AK,51.5672222,178.8776
